nascent,emerging,expanding,optimising,mature
"There is a lack of clarity around our goals, objectives, outcomes, and/or priorities.",We are still formalising and/or documenting our impact strategy.,We have a documented impact strategy that we are gathering feedback on from stakeholders.,We are updating our impact strategy based on lessons from implementing this strategy.,We have a clearly defined impact strategy that is widely utilised within the organisation.
Unclear,In-progress,Clear,Relevant,Integrated
Unknown,n/a,n/a,n/a,n/a
