nascent,emerging,expanding,optimising,mature
No,We have some idea of the resources we require to operationalise our Impact Management Capability.,We have a clear plan of the resources required to effectively operationalise our Impact Management Capability.,There is ongoing work to support the effective operationalisation of the Capability.,We have the optimum resources in place to execute our Impact Management Capability purpose.
We do not fully understand the resources we require to execute the basic Impact Management function.,Under-resourced,Distributed,In-progress,Accountable
Unclear,n/a,n/a,n/a,Well-resourced
