nascent,emerging,expanding,optimising,mature
No,"No, because there have been no previous versions of impact performance assessments.",n/a,n/a,n/a
Not aligned,Partially aligned,Somewhat aligned,Fairly aligned,Clearly aligned
"No, because there have been no previous versions of impact performance assessments.","No, there have been no revisions and/or refinements.","No, there have been no revisions and/or refinements.","Yes, learnings have been integrated.","Yes, learnings have been integrated."
Not at all clear,Fairly unclear,Somewhat clear,Fairly clear,Very clear
