Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Equipping,1,0,0,0,0,1.0,1.0,Nascent,1
Impact Performance,1,0,0,1,1,3.3333333333333335,3.0,Expanding,2
Team Composition,1,0,0,1,0,2.5,2.0,Emerging,3
Total,3,0,0,2,1,2.541666666666667,3.0,Expanding,4
