Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,1,0,0,2,0,2.5,2.0,Emerging
Capability Stakeholders,1,0,0,0,0,1.0,1.0,Nascent
Impact Strategy,0,1,0,1,1,3.6666666666666665,4.0,Optimising
Total,2,1,0,3,1,2.5416666666666665,3.0,Expanding
