Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Data Access,1,0,0,0,1,3.0,3.0,Expanding,1
Data Collection,1,0,0,2,1,3.3333333333333335,3.0,Expanding,2
Data Quality,1,0,0,0,0,1.0,1.0,Nascent,3
Total,3,0,0,2,2,2.666666666666667,3.0,Expanding,4
