Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Processes,0,0,1,1,1,4.0,4.0,Optimising,1
"Responsibility 
Framework",0,0,0,1,0,4.0,4.0,Optimising,2
Total,0,0,1,2,1,4.0,4.0,Optimising,3
