Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,0,1,0,0,0,2.0,2.0,Emerging
Capability Stakeholders,0,1,0,0,0,2.0,2.0,Emerging
Impact Strategy,2,2,0,0,0,1.5,2.0,Emerging
Total,2,4,0,0,0,1.75,2.0,Emerging
