Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Data Access,1,0,1,0,0,2.0,2.0,Emerging,1
Data Collection,0,0,1,1,1,4.0,4.0,Optimising,2
Data Quality,0,0,0,1,0,4.0,4.0,Optimising,3
Total,1,0,2,2,1,3.3125,3.0,Expanding,4
