Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Processes,0,0,0,0,0,0.0,1.0,Nascent,1
"Responsibility 
Framework",0,0,1,0,0,3.0,3.0,Expanding,2
Total,0,0,1,0,0,2.0,2.0,Emerging,3
