Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Data Access,1,1,0,0,0,1.5,2.0,Emerging,1
Data Collection,1,0,1,0,0,2.0,2.0,Emerging,2
Data Quality,1,0,0,0,0,1.0,1.0,Nascent,3
Total,3,1,1,0,0,1.625,2.0,Emerging,4
