Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Equipping,2,0,0,0,0,1.0,1.0,Nascent,1
Impact Performance,1,0,0,0,0,1.0,1.0,Nascent,2
Team Composition,2,0,0,1,0,2.5,2.0,Emerging,3
Total,5,0,0,1,0,1.75,2.0,Emerging,4
