Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Reporting Framework,2,1,0,0,0,1.5,2.0,Emerging,1
Reporting Standards,1,0,0,0,0,1.0,1.0,Nascent,2
Total,3,1,0,0,0,1.3333333333333333,1.0,Nascent,3
