Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Equipping,0,0,1,0,1,4.0,4.0,Optimising,1
Impact Performance,0,0,0,0,2,5.0,5.0,Mature,2
Team Composition,0,0,0,1,2,4.5,4.0,Optimising,3
Total,0,0,1,1,5,4.375,4.0,Optimising,4
