Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Data Access,1,0,1,1,0,2.6666666666666665,3.0,Expanding,1
Data Collection,1,0,0,2,0,2.5,2.0,Emerging,2
Data Quality,1,1,0,0,0,1.5,2.0,Emerging,3
Total,3,1,1,3,0,2.2916666666666665,2.0,Emerging,4
