Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,1,0,0,2,0,2.5,2.0,Emerging
Capability Stakeholders,1,0,1,0,0,2.0,2.0,Emerging
Impact Strategy,0,0,2,1,0,3.5,4.0,Optimising
Total,2,0,3,3,0,2.6666666666666665,3.0,Expanding
