Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Equipping,0,0,1,0,0,3.0,3.0,Expanding,1
Impact Performance,0,2,2,0,0,2.5,2.0,Emerging,2
Team Composition,1,0,0,1,1,3.3333333333333335,3.0,Expanding,3
Total,1,2,3,1,1,2.9583333333333335,3.0,Expanding,4
