Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
IMF,0,0,0,2,0,4.0,4.0,Optimising,1
Tools & Templates,0,0,1,0,0,3.0,3.0,Expanding,2
Evaulation,0,0,0,0,0,0.0,1.0,Nascent,3
"Research, Knowledge,
& Insights",0,0,0,0,0,0.0,1.0,Nascent,4
Total,0,0,1,2,0,2.1,2.0,Emerging,5
