Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
IMF,1,2,2,0,0,2.0,2.0,Emerging,1
Tools & Templates,0,0,1,0,0,3.0,3.0,Expanding,2
Evaulation,0,1,0,1,0,3.0,3.0,Expanding,3
"Risks, Knowledge,
& Insights",0,0,0,0,0,0.0,1.0,Nascent,4
Total,1,3,3,1,0,2.1,2.0,Emerging,5
