Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Data Access,0,0,0,1,1,4.5,4.0,Optimising,1
Data Collection,0,0,0,3,1,4.5,4.0,Optimising,2
Data Quality,0,0,0,1,1,4.5,4.0,Optimising,3
Total,0,0,0,5,3,4.5,4.0,Optimising,4
