Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Data Access,0,1,0,0,0,2.0,2.0,Emerging,1
Data Collection,0,1,0,1,0,3.0,3.0,Expanding,2
Data Quality,0,0,0,0,0,0.0,1.0,Nascent,3
Total,0,2,0,1,0,2.0,2.0,Emerging,4
