Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,0,1,0,1,0,3.0,3.0,Expanding
Capability Stakeholders,0,1,1,0,0,2.5,2.0,Emerging
Impact Strategy,1,0,1,0,0,2.0,2.0,Emerging
Total,1,2,2,1,0,2.5,2.0,Emerging
