Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
IMF,1,0,0,0,0,1.0,1.0,Nascent,1
Tools & Templates,1,0,0,0,0,1.0,1.0,Nascent,2
Evaulation,2,3,0,0,0,1.5,2.0,Emerging,3
"Risks, Knowledge,
& Insights",1,0,0,0,0,1.0,1.0,Nascent,4
Total,5,3,0,0,0,1.2,1.0,Nascent,5
