Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
IMF,0,0,1,1,2,4.0,4.0,Optimising,1
Tools & Templates,0,0,1,1,2,4.0,4.0,Optimising,2
Evaluation,0,0,0,1,1,4.5,4.0,Optimising,3
"Research, Knowledge,
& Insights",0,0,0,1,1,4.5,4.0,Optimising,4
Total,0,0,2,4,6,4.2,4.0,Optimising,5
