Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
IMF,0,1,1,1,1,3.5,4.0,Optimising,1
Tools & Templates,0,0,0,0,1,5.0,5.0,Mature,2
Evaulation,1,2,0,0,0,1.5,2.0,Emerging,3
"Risks, Knowledge,
& Insights",0,0,0,0,0,0.0,1.0,Nascent,4
Total,1,3,1,1,2,2.6,3.0,Expanding,5
