Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,0,0,0,1,2,4.5,4.0,Optimising
Capability Stakeholders,0,0,0,0,1,5.0,5.0,Mature
Impact Strategy,0,0,2,2,2,4.0,4.0,Optimising
Total,0,0,2,3,5,4.375,4.0,Optimising
