Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Equipping,1,0,0,0,0,1.0,1.0,Nascent,1
Impact Performance,1,0,0,0,0,1.0,1.0,Nascent,2
Team Composition,1,1,0,0,0,1.5,2.0,Emerging,3
Total,3,1,0,0,0,1.25,1.0,Nascent,4
