Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Reporting Framework,1,0,1,1,0,2.6666666666666665,3.0,Expanding,1
Reporting Standards,1,0,1,0,0,2.0,2.0,Emerging,2
Total,2,0,2,1,0,2.444444444444444,2.0,Emerging,3
