Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,1,0,0,0,0,1.0,1.0,Nascent
Capability Stakeholders,1,0,0,0,0,1.0,1.0,Nascent
Impact Strategy,0,0,0,0,0,0.0,1.0,Nascent
Total,2,0,0,0,0,0.75,1.0,Nascent
