Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Reporting Framework,1,1,1,1,0,2.5,2.0,Emerging,1
Reporting Standards,1,1,0,0,0,1.5,2.0,Emerging,2
Total,2,2,1,1,0,2.1666666666666665,2.0,Emerging,3
