Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Equipping,2,0,0,0,0,1.0,1.0,Nascent,1
Impact Performance,1,1,1,0,0,2.0,2.0,Emerging,2
Team Composition,1,1,0,1,0,2.3333333333333335,2.0,Emerging,3
Total,4,2,1,1,0,1.9583333333333335,2.0,Emerging,4
