Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,1,0,0,1,1,3.3333333333333335,3.0,Expanding
Capability Stakeholders,1,0,0,0,0,1.0,1.0,Nascent
Impact Strategy,0,1,0,0,2,3.5,4.0,Optimising
Total,2,1,0,1,3,2.7083333333333335,3.0,Expanding
