Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Equipping,1,0,1,0,0,2.0,2.0,Emerging,1
Impact Performance,1,1,2,1,0,2.5,2.0,Emerging,2
Team Composition,1,0,0,2,0,2.5,2.0,Emerging,3
Total,3,1,3,3,0,2.375,2.0,Emerging,4
