Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Processes,1,0,0,0,0,1.0,1.0,Nascent,1
"Responsibility 
Framework",1,0,1,0,0,2.0,2.0,Emerging,2
Total,2,0,1,0,0,1.6666666666666667,2.0,Emerging,3
