Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
IMF,0,2,0,0,0,2.0,2.0,Emerging,1
Tools & Templates,0,0,1,0,0,3.0,3.0,Expanding,2
Evaluation,0,2,0,0,0,2.0,2.0,Emerging,3
"Research, Knowledge,
& Insights",0,0,0,1,0,4.0,4.0,Optimising,4
Total,0,4,1,1,0,2.8,3.0,Expanding,5
