Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Reporting Framework,0,1,1,2,1,3.5,4.0,Optimising,1
Reporting Standards,0,1,1,0,0,2.5,2.0,Emerging,2
Total,0,2,2,2,1,3.1666666666666665,3.0,Expanding,3
