Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,0,0,0,2,0,4.0,4.0,Optimising
Capability Stakeholders,0,0,0,0,0,0.0,1.0,Nascent
Impact Strategy,0,0,0,0,2,5.0,5.0,Mature
Total,0,0,0,2,2,3.375,3.0,Expanding
