Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column
Capability Purpose,1,0,0,0,0,1.0,1.0,Nascent
Capability Stakeholders,2,0,0,0,0,1.0,1.0,Nascent
Impact Strategy,1,2,0,0,1,2.6666666666666665,3.0,Expanding
Total,4,2,0,0,1,1.833333333333333,2.0,Emerging
