Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Data Access,1,0,1,0,0,2.0,2.0,Emerging,1
Data Collection,1,0,1,1,0,2.6666666666666665,3.0,Expanding,2
Data Quality,1,0,0,0,0,1.0,1.0,Nascent,3
Total,3,0,2,1,0,2.083333333333333,2.0,Emerging,4
