Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Processes,0,0,1,1,0,3.5,4.0,Optimising,1
"Responsibility 
Framework",0,0,1,0,0,3.0,3.0,Expanding,2
Total,0,0,2,1,0,3.3333333333333335,3.0,Expanding,3
