Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
IMF,2,1,1,0,1,2.75,3.0,Expanding,1
Tools & Templates,1,0,0,0,1,3.0,3.0,Expanding,2
Evaulation,1,0,0,0,0,1.0,1.0,Nascent,3
"Research, Knowledge,
& Insights",1,0,0,0,0,1.0,1.0,Nascent,4
Total,5,1,1,0,2,2.1,2.0,Emerging,5
