Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
IMF,1,0,0,0,0,1.0,1.0,Nascent,1
Tools & Templates,1,0,0,1,0,2.5,2.0,Emerging,2
Evaulation,1,1,0,0,0,1.5,2.0,Emerging,3
"Risks, Knowledge,
& Insights",1,0,0,0,0,1.0,1.0,Nascent,4
Total,4,1,0,1,0,1.6666666666666667,2.0,Emerging,5
