Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Processes,1,0,0,0,0,1.0,1.0,Nascent,1
"Responsibility 
Framework",1,1,0,0,0,1.5,2.0,Emerging,2
Total,2,1,0,0,0,1.3333333333333333,1.0,Nascent,3
