Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Equipping,0,0,1,0,0,3.0,3.0,Expanding,1
Impact Performance,0,2,0,0,0,2.0,2.0,Emerging,2
Team Composition,1,1,0,0,0,1.5,2.0,Emerging,3
Total,1,3,1,0,0,2.125,2.0,Emerging,4
