Dimension,Nascent,Emerging,Expanding,Optimising,Mature,level,max,max_column,idx
Reporting Framework,1,0,0,1,0,2.5,2.0,Emerging,1
Reporting Standards,1,1,0,1,0,2.3333333333333335,2.0,Emerging,2
Total,2,1,0,2,0,2.3888888888888893,2.0,Emerging,3
